board,r,c,path,pred,prob,top2,prob2,margin,low_conf,low_by_prob,low_by_margin
real_train_19,1,1,demo_export\real_train_19\cells\r1c1.png,0,1.0,5,3.872378142668075e-33,1.0,0,0,0
real_train_19,1,2,demo_export\real_train_19\cells\r1c2.png,2,1.0,7,2.3531393425467115e-24,1.0,0,0,0
real_train_19,1,3,demo_export\real_train_19\cells\r1c3.png,0,1.0,5,1.627107736740241e-13,0.9999999999998372,0,0,0
real_train_19,1,4,demo_export\real_train_19\cells\r1c4.png,0,1.0,7,3.9935810135472246e-17,1.0,0,0,0
real_train_19,1,5,demo_export\real_train_19\cells\r1c5.png,5,1.0,3,1.2900760843420235e-27,1.0,0,0,0
real_train_19,1,6,demo_export\real_train_19\cells\r1c6.png,6,1.0,4,8.035961448070342e-16,0.9999999999999992,0,0,0
real_train_19,1,7,demo_export\real_train_19\cells\r1c7.png,4,1.0,9,3.377433270436799e-25,1.0,0,0,0
real_train_19,1,8,demo_export\real_train_19\cells\r1c8.png,0,1.0,2,2.8082477807300176e-18,1.0,0,0,0
real_train_19,1,9,demo_export\real_train_19\cells\r1c9.png,0,1.0,2,2.2422918230533895e-16,0.9999999999999998,0,0,0
real_train_19,2,1,demo_export\real_train_19\cells\r2c1.png,0,1.0,5,6.577026823084318e-23,1.0,0,0,0
real_train_19,2,2,demo_export\real_train_19\cells\r2c2.png,4,1.0,9,4.822078394621138e-28,1.0,0,0,0
real_train_19,2,3,demo_export\real_train_19\cells\r2c3.png,5,1.0,3,2.425480317878155e-20,1.0,0,0,0
real_train_19,2,4,demo_export\real_train_19\cells\r2c4.png,0,1.0,5,3.808492403171339e-17,1.0,0,0,0
real_train_19,2,5,demo_export\real_train_19\cells\r2c5.png,1,1.0,4,5.745220431872175e-28,1.0,0,0,0
real_train_19,2,6,demo_export\real_train_19\cells\r2c6.png,0,1.0,2,5.263072615181827e-19,1.0,0,0,0
real_train_19,2,7,demo_export\real_train_19\cells\r2c7.png,8,1.0,9,4.098715090376286e-18,1.0,0,0,0
real_train_19,2,8,demo_export\real_train_19\cells\r2c8.png,0,1.0,2,5.520349463730853e-18,1.0,0,0,0
real_train_19,2,9,demo_export\real_train_19\cells\r2c9.png,9,1.0,4,6.467260453161877e-15,0.9999999999999936,0,0,0
real_train_19,3,1,demo_export\real_train_19\cells\r3c1.png,0,1.0,5,7.162383733155913e-20,1.0,0,0,0
real_train_19,3,2,demo_export\real_train_19\cells\r3c2.png,0,1.0,2,5.426001656653361e-18,1.0,0,0,0
real_train_19,3,3,demo_export\real_train_19\cells\r3c3.png,0,1.0,2,1.1771045848401366e-18,1.0,0,0,0
real_train_19,3,4,demo_export\real_train_19\cells\r3c4.png,7,1.0,2,8.60827083230611e-26,1.0,0,0,0
real_train_19,3,5,demo_export\real_train_19\cells\r3c5.png,0,1.0,2,1.967125245747562e-18,1.0,0,0,0
real_train_19,3,6,demo_export\real_train_19\cells\r3c6.png,9,1.0,4,7.250535112893978e-15,0.9999999999999928,0,0,0
real_train_19,3,7,demo_export\real_train_19\cells\r3c7.png,0,1.0,2,9.890803725088465e-18,1.0,0,0,0
real_train_19,3,8,demo_export\real_train_19\cells\r3c8.png,0,1.0,5,5.53713806305655e-14,0.9999999999999446,0,0,0
real_train_19,3,9,demo_export\real_train_19\cells\r3c9.png,0,1.0,2,1.7414481234846182e-17,1.0,0,0,0
real_train_19,4,1,demo_export\real_train_19\cells\r4c1.png,0,1.0,5,8.820344744890223e-19,1.0,0,0,0
real_train_19,4,2,demo_export\real_train_19\cells\r4c2.png,0,1.0,7,7.683721208767865e-16,0.9999999999999992,0,0,0
real_train_19,4,3,demo_export\real_train_19\cells\r4c3.png,6,1.0,4,1.7528564640761e-19,1.0,0,0,0
real_train_19,4,4,demo_export\real_train_19\cells\r4c4.png,0,1.0,7,3.86528432922907e-23,1.0,0,0,0
real_train_19,4,5,demo_export\real_train_19\cells\r4c5.png,0,1.0,2,6.824449330257454e-18,1.0,0,0,0
real_train_19,4,6,demo_export\real_train_19\cells\r4c6.png,3,1.0,7,2.3454493314531188e-32,1.0,0,0,0
real_train_19,4,7,demo_export\real_train_19\cells\r4c7.png,0,1.0,7,3.7471890907043165e-24,1.0,0,0,0
real_train_19,4,8,demo_export\real_train_19\cells\r4c8.png,0,1.0,7,1.110699869432875e-18,1.0,0,0,0
real_train_19,4,9,demo_export\real_train_19\cells\r4c9.png,0,1.0,2,3.117085038486622e-22,1.0,0,0,0
real_train_19,5,1,demo_export\real_train_19\cells\r5c1.png,2,1.0,7,8.339194568358782e-25,1.0,0,0,0
real_train_19,5,2,demo_export\real_train_19\cells\r5c2.png,0,1.0,2,1.091456374404027e-15,0.9999999999999989,0,0,0
real_train_19,5,3,demo_export\real_train_19\cells\r5c3.png,8,1.0,9,3.215700729574918e-22,1.0,0,0,0
real_train_19,5,4,demo_export\real_train_19\cells\r5c4.png,0,1.0,5,7.149178932049847e-18,1.0,0,0,0
real_train_19,5,5,demo_export\real_train_19\cells\r5c5.png,0,1.0,2,3.941394850445744e-18,1.0,0,0,0
real_train_19,5,6,demo_export\real_train_19\cells\r5c6.png,0,1.0,5,1.1988949863458282e-15,0.9999999999999988,0,0,0
real_train_19,5,7,demo_export\real_train_19\cells\r5c7.png,1,1.0,4,4.583805802556918e-30,1.0,0,0,0
real_train_19,5,8,demo_export\real_train_19\cells\r5c8.png,0,1.0,2,3.391083275321909e-15,0.9999999999999966,0,0,0
real_train_19,5,9,demo_export\real_train_19\cells\r5c9.png,3,1.0,1,3.583606751877935e-25,1.0,0,0,0
real_train_19,6,1,demo_export\real_train_19\cells\r6c1.png,0,1.0,5,2.9772008937798122e-24,1.0,0,0,0
real_train_19,6,2,demo_export\real_train_19\cells\r6c2.png,0,1.0,7,9.244648029407311e-15,0.9999999999999908,0,0,0
real_train_19,6,3,demo_export\real_train_19\cells\r6c3.png,0,1.0,2,3.245516545631168e-19,1.0,0,0,0
real_train_19,6,4,demo_export\real_train_19\cells\r6c4.png,1,1.0,7,8.601167020446938e-29,1.0,0,0,0
real_train_19,6,5,demo_export\real_train_19\cells\r6c5.png,0,1.0,7,6.608782665049566e-18,1.0,0,0,0
real_train_19,6,6,demo_export\real_train_19\cells\r6c6.png,0,1.0,2,3.6540470914982717e-19,1.0,0,0,0
real_train_19,6,7,demo_export\real_train_19\cells\r6c7.png,7,1.0,1,5.6784151711078894e-21,1.0,0,0,0
real_train_19,6,8,demo_export\real_train_19\cells\r6c8.png,0,1.0,7,3.367621521474149e-15,0.9999999999999967,0,0,0
real_train_19,6,9,demo_export\real_train_19\cells\r6c9.png,0,1.0,2,3.147843449661028e-14,0.9999999999999685,0,0,0
real_train_19,7,1,demo_export\real_train_19\cells\r7c1.png,0,1.0,5,4.365419893653017e-27,1.0,0,0,0
real_train_19,7,2,demo_export\real_train_19\cells\r7c2.png,0,1.0,5,2.5263751052100047e-13,0.9999999999997473,0,0,0
real_train_19,7,3,demo_export\real_train_19\cells\r7c3.png,0,1.0,2,3.082435282247409e-17,1.0,0,0,0
real_train_19,7,4,demo_export\real_train_19\cells\r7c4.png,4,1.0,9,1.3667767499338556e-28,1.0,0,0,0
real_train_19,7,5,demo_export\real_train_19\cells\r7c5.png,0,1.0,2,2.4107765362551715e-20,1.0,0,0,0
real_train_19,7,6,demo_export\real_train_19\cells\r7c6.png,7,1.0,1,7.698656394942692e-23,1.0,0,0,0
real_train_19,7,7,demo_export\real_train_19\cells\r7c7.png,0,1.0,5,5.1245259516052235e-28,1.0,0,0,0
real_train_19,7,8,demo_export\real_train_19\cells\r7c8.png,0,1.0,2,5.170290298304586e-23,1.0,0,0,0
real_train_19,7,9,demo_export\real_train_19\cells\r7c9.png,0,1.0,7,8.279122538048308e-19,1.0,0,0,0
real_train_19,8,1,demo_export\real_train_19\cells\r8c1.png,6,1.0,4,3.655999237743897e-19,1.0,0,0,0
real_train_19,8,2,demo_export\real_train_19\cells\r8c2.png,0,1.0,2,7.321341687301733e-18,1.0,0,0,0
