board,r,c,path,pred,prob,top2,prob2,margin,low_conf,low_by_prob,low_by_margin
real_train_17,1,1,demo_export\real_train_17\cells\r1c1.png,9,1.0,3,4.263390873657906e-24,1.0,0,0,0
real_train_17,1,2,demo_export\real_train_17\cells\r1c2.png,6,1.0,5,1.3935443537280322e-18,1.0,0,0,0
real_train_17,1,3,demo_export\real_train_17\cells\r1c3.png,0,1.0,2,2.6646060392910306e-16,0.9999999999999998,0,0,0
real_train_17,1,4,demo_export\real_train_17\cells\r1c4.png,4,1.0,9,2.6558741489005144e-27,1.0,0,0,0
real_train_17,1,5,demo_export\real_train_17\cells\r1c5.png,5,1.0,6,2.903218785902541e-35,1.0,0,0,0
real_train_17,1,6,demo_export\real_train_17\cells\r1c6.png,0,1.0,7,1.3163676352840985e-14,0.9999999999999868,0,0,0
real_train_17,1,7,demo_export\real_train_17\cells\r1c7.png,0,1.0,7,1.0402604748742036e-14,0.9999999999999896,0,0,0
real_train_17,1,8,demo_export\real_train_17\cells\r1c8.png,3,1.0,9,1.5402449581578646e-31,1.0,0,0,0
real_train_17,1,9,demo_export\real_train_17\cells\r1c9.png,0,1.0,2,1.704758361978706e-17,1.0,0,0,0
real_train_17,2,1,demo_export\real_train_17\cells\r2c1.png,0,1.0,2,7.260959156946587e-18,1.0,0,0,0
real_train_17,2,2,demo_export\real_train_17\cells\r2c2.png,0,1.0,5,2.945482535177471e-15,0.999999999999997,0,0,0
real_train_17,2,3,demo_export\real_train_17\cells\r2c3.png,0,1.0,2,7.24671573545569e-16,0.9999999999999992,0,0,0
real_train_17,2,4,demo_export\real_train_17\cells\r2c4.png,8,1.0,9,1.972325812976744e-17,1.0,0,0,0
real_train_17,2,5,demo_export\real_train_17\cells\r2c5.png,0,1.0,5,4.142511507940498e-16,0.9999999999999996,0,0,0
real_train_17,2,6,demo_export\real_train_17\cells\r2c6.png,9,1.0,8,1.0973205568234332e-25,1.0,0,0,0
real_train_17,2,7,demo_export\real_train_17\cells\r2c7.png,5,1.0,6,1.2566622213972702e-36,1.0,0,0,0
real_train_17,2,8,demo_export\real_train_17\cells\r2c8.png,0,1.0,7,4.800872101358639e-16,0.9999999999999996,0,0,0
real_train_17,2,9,demo_export\real_train_17\cells\r2c9.png,7,1.0,2,4.963055387373001e-35,1.0,0,0,0
real_train_17,3,1,demo_export\real_train_17\cells\r3c1.png,0,1.0,1,7.926748450334808e-13,0.9999999999992073,0,0,0
real_train_17,3,2,demo_export\real_train_17\cells\r3c2.png,0,1.0,5,7.718496929922866e-14,0.9999999999999228,0,0,0
real_train_17,3,3,demo_export\real_train_17\cells\r3c3.png,1,1.0,7,1.0797750307331343e-28,1.0,0,0,0
real_train_17,3,4,demo_export\real_train_17\cells\r3c4.png,0,1.0,2,3.8702387889204626e-17,1.0,0,0,0
real_train_17,3,5,demo_export\real_train_17\cells\r3c5.png,6,1.0,5,2.7082131554088375e-21,1.0,0,0,0
real_train_17,3,6,demo_export\real_train_17\cells\r3c6.png,0,1.0,2,5.68148209638659e-17,0.9999999999999999,0,0,0
real_train_17,3,7,demo_export\real_train_17\cells\r3c7.png,2,1.0,9,5.871650760290632e-40,1.0,0,0,0
real_train_17,3,8,demo_export\real_train_17\cells\r3c8.png,0,1.0,2,9.495474919759162e-17,0.9999999999999999,0,0,0
real_train_17,3,9,demo_export\real_train_17\cells\r3c9.png,0,1.0,7,5.667782264907038e-16,0.9999999999999994,0,0,0
real_train_17,4,1,demo_export\real_train_17\cells\r4c1.png,0,1.0,7,9.657349586363918e-15,0.9999999999999903,0,0,0
real_train_17,4,2,demo_export\real_train_17\cells\r4c2.png,0,1.0,2,5.1165068192287865e-17,1.0,0,0,0
real_train_17,4,3,demo_export\real_train_17\cells\r4c3.png,0,1.0,2,5.153627376397716e-17,1.0,0,0,0
real_train_17,4,4,demo_export\real_train_17\cells\r4c4.png,6,1.0,5,3.3524021360482796e-18,1.0,0,0,0
real_train_17,4,5,demo_export\real_train_17\cells\r4c5.png,3,1.0,8,1.327507760591529e-28,1.0,0,0,0
real_train_17,4,6,demo_export\real_train_17\cells\r4c6.png,1,1.0,7,8.749002385202374e-26,1.0,0,0,0
real_train_17,4,7,demo_export\real_train_17\cells\r4c7.png,0,1.0,2,9.029109166912785e-17,0.9999999999999999,0,0,0
real_train_17,4,8,demo_export\real_train_17\cells\r4c8.png,9,1.0,8,2.0457523692120677e-25,1.0,0,0,0
real_train_17,4,9,demo_export\real_train_17\cells\r4c9.png,0,1.0,7,1.768176364602258e-14,0.9999999999999823,0,0,0
real_train_17,5,1,demo_export\real_train_17\cells\r5c1.png,6,1.0,5,1.401421838818917e-13,0.9999999999998599,0,0,0
