board,r,c,path,pred,prob,top2,prob2,margin,low_conf,low_by_prob,low_by_margin
predict_6,1,1,demo_export\predict_6\cells\r1c1.png,6,1.0,8,1.2354558768473508e-32,1.0,0,0,0
predict_6,1,2,demo_export\predict_6\cells\r1c2.png,1,1.0,7,2.616912441680815e-28,1.0,0,0,0
predict_6,1,3,demo_export\predict_6\cells\r1c3.png,8,1.0,3,3.036424464728654e-13,0.9999999999996964,0,0,0
predict_6,1,4,demo_export\predict_6\cells\r1c4.png,0,1.0,7,1.15159787094612e-17,1.0,0,0,0
predict_6,1,5,demo_export\predict_6\cells\r1c5.png,9,1.0,8,4.195704019540098e-26,1.0,0,0,0
predict_6,1,6,demo_export\predict_6\cells\r1c6.png,0,1.0,7,4.0268470538182644e-20,1.0,0,0,0
predict_6,1,7,demo_export\predict_6\cells\r1c7.png,2,1.0,9,0.0,1.0,0,0,0
predict_6,1,8,demo_export\predict_6\cells\r1c8.png,5,1.0,6,8.541845368894273e-31,1.0,0,0,0
predict_6,1,9,demo_export\predict_6\cells\r1c9.png,3,1.0,8,3.496691043541359e-35,1.0,0,0,0
predict_6,2,1,demo_export\predict_6\cells\r2c1.png,4,1.0,1,8.954119750812496e-34,1.0,0,0,0
predict_6,2,2,demo_export\predict_6\cells\r2c2.png,0,1.0,2,6.657327277339101e-14,0.9999999999999334,0,0,0
predict_6,2,3,demo_export\predict_6\cells\r2c3.png,0,1.0,7,4.395008503918138e-21,1.0,0,0,0
predict_6,2,4,demo_export\predict_6\cells\r2c4.png,0,1.0,7,4.6069101326459954e-15,0.9999999999999954,0,0,0
predict_6,2,5,demo_export\predict_6\cells\r2c5.png,0,1.0,7,1.2332107914582654e-23,1.0,0,0,0
predict_6,2,6,demo_export\predict_6\cells\r2c6.png,0,1.0,7,5.530129220113067e-18,1.0,0,0,0
predict_6,2,7,demo_export\predict_6\cells\r2c7.png,0,1.0,1,4.295321596518537e-24,1.0,0,0,0
predict_6,2,8,demo_export\predict_6\cells\r2c8.png,0,1.0,7,2.3530352097517787e-21,1.0,0,0,0
predict_6,2,9,demo_export\predict_6\cells\r2c9.png,7,1.0,2,2.691677821239583e-32,1.0,0,0,0
